sampleId,wavelengthNm,qDir
ALT025,344,11243110497048.66
ALT025,345,12543515248090.053
ALT025,346,13286996495318.354
ALT025,347,14035188560047.781
ALT025,348,13725936766839.844
ALT025,349,13700782141203.592
ALT025,350,15799680752685.496
ALT025,351,16845462835744.646
ALT025,352,16077000578959.418
ALT025,353,16424858570161.105
ALT025,354,19477143658747.86
ALT025,355,20027073933590.96
ALT025,356,18413446452533.434
ALT025,357,15461743967093.482
ALT025,358,14818531063085.988
ALT025,359,16467811411092.531
ALT025,360,21343504805955.414
ALT025,361,18854225928137.73
ALT025,362,19595594548818.1
ALT025,363,22365841918882.2
ALT025,364,22840661842027.6
ALT025,365,23855190986052.63
ALT025,366,28530990333791.16
ALT025,367,28462103469167.773
ALT025,368,26699036236632.34
ALT025,369,28096793080184.92
ALT025,370,31012829816963.9
ALT025,371,28859121721646.605
ALT025,372,28488335848187.137
ALT025,373,26485615663998.53
ALT025,374,24128884881387.285
ALT025,375,25897414915325.99
ALT025,376,30083834932158.914
ALT025,377,32179004384432.707
ALT025,378,39205234991371.85
ALT025,379,34574137742333.63
ALT025,380,33045822132042.516
ALT025,381,36436859762011.6
ALT025,382,28307035260397.473
ALT025,383,22196634656584.805
ALT025,384,25166551108125.805
ALT025,385,33651592538271.027
ALT025,386,31373647763776.66
ALT025,387,33297265445724.426
ALT025,388,32885145812970.676
ALT025,389,35862822078733.5
ALT025,390,42173089523524.89
ALT025,391,45564654052890.03
ALT025,392,43052511684264.01
ALT025,393,26253332208141.28
ALT025,394,27419277454699.027
ALT025,395,45173659157150.95
ALT025,396,42795669635155.01
ALT025,397,24345509487965.06
ALT025,398,49271021859281.49
ALT025,399,62389962492730.82
ALT025,400,65750684783291.32
ALT030,290,330.66689308267263
ALT030,291,7380.580412784418
ALT030,292,102686.76849740764
ALT030,293,467511.6711253041
ALT030,294,4640516.08060931
ALT030,295,19282610.938115664
ALT030,296,121523559.38795026
ALT030,297,296911722.6856901
ALT030,298,1228714668.7844377
ALT030,299,2645940211.4319897
ALT030,300,6680362059.370452
ALT030,301,16962728857.461681
ALT030,302,29509600491.56935
ALT030,303,78694701381.7422
ALT030,304,118645702444.13635
ALT030,305,238734049793.3676
ALT030,306,293125142811.2659
ALT030,307,436066787695.44763
ALT030,308,672426704732.1893
ALT030,309,752641824016.1982
ALT030,310,975122660129.5538
ALT030,311,1655797485057.9001
ALT030,312,1929830491195.9893
ALT030,313,2307966544023.617
ALT030,314,2584780755863.888
ALT030,315,3099985603714.1313
ALT030,316,2855151838216.5034
ALT030,317,4165065234075.892
ALT030,318,4337478566925.2954
ALT030,319,5115179345376.225
ALT030,320,5251561262184.503
ALT030,321,6510569425085.805
ALT030,322,6052932930841.115
ALT030,323,5692609461582.817
ALT030,324,7747393475092.876
ALT030,325,7859632975398.239
ALT030,326,10911057595078.758
ALT030,327,11953581536948.469
ALT030,328,10532112541126.424
ALT030,329,12812290744298.451
ALT030,330,14873964529308.309
ALT030,331,13003482023741.4
ALT030,332,14009166374701.645
ALT030,333,14141849366400.906
ALT030,334,13874296020463.523
ALT030,335,15744921890086.234
ALT030,336,14379752463933.648
ALT030,337,13357180005889.426
ALT030,338,15531316831025.764
ALT030,339,16907828121583.496
ALT030,340,18734491883465.98
ALT030,341,17754646873639.82
ALT030,342,18748966841576.402
ALT030,343,20049992887783.98
ALT030,344,16607525157084.816
ALT030,345,18425011118774.79
ALT030,346,19440460340630.535
ALT030,347,20460583815064.44
ALT030,348,19942016369248.188
ALT030,349,19834135343359.395
ALT030,350,22798995052504.39
ALT030,351,24228856977485.57
ALT030,352,23057087274890.227
ALT030,353,23475710524172.723
ALT030,354,27747991764704.184
ALT030,355,28445374854911.09
ALT030,356,26073425230066.227
ALT030,357,21829761169497.586
ALT030,358,20859272707574.13
ALT030,359,23113451564842.49
ALT030,360,29873404656765.25
ALT030,361,26313712357421.215
ALT030,362,27271435941333.047
ALT030,363,31041381259907.465
ALT030,364,31614688280526.992
ALT030,365,32931715457530.152
ALT030,366,39282527930547.28
ALT030,367,39085289255963.63
ALT030,368,36570150467090.72
ALT030,369,38387663222149.97
ALT030,370,42265531794805.234
ALT030,371,39233307123160.984
ALT030,372,38634901756278.94
ALT030,373,35832373298118.42
ALT030,374,32566654654155.664
ALT030,375,34871670817766.805
ALT030,376,40414900921231.695
ALT030,377,43130835111088.41
ALT030,378,52429892121519.67
ALT030,379,46133481219282.58
ALT030,380,43997100661888.69
ALT030,381,48406553199563.984
ALT030,382,37525188937904.16
ALT030,383,29362530153262.03
ALT030,384,33221475023751.926
ALT030,385,44330197980469.69
ALT030,386,41244958687198.94
ALT030,387,43685372273033.91
ALT030,388,43058474187021.38
ALT030,389,46864773416734.04
ALT030,390,55003616948010.22
ALT030,391,59312409131209.38
ALT030,392,55935639717639.164
ALT030,393,34045284263298.17
